id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
142063,boardgame,Deadzone,2013,2,4,60,60,60,12,200,7.9317,5.98229,668,26,35,101,71,26,2.7692
134520,boardgame,Phantom Leader Deluxe,2013,1,1,30,30,30,12,164,8.28262,5.98184,477,12,74,205,66,26,2.7308
146725,boardgame,Golem Arcana,2014,2,8,45,45,45,14,291,7.50811,5.98152,686,26,39,183,97,43,2.814
8829,boardgame,Nobody is Perfect,1992,3,6,45,45,45,14,383,6.90862,5.98142,530,12,2,27,62,32,1.7188
23890,boardgame,Der schwarze Pirat,2006,2,4,15,15,15,5,490,6.68871,5.9814,793,28,100,216,203,46,1.1304
2381,boardgame,Scattergories,1988,2,6,30,30,30,12,4743,6.11776,5.98054,7376,207,9,98,1222,380,1.4132
4095,boardgame,Star Munchkin,2002,3,6,90,90,90,10,3130,6.19188,5.98035,5573,234,37,184,637,255,1.7373
156496,boardgame,March of the Ants,2015,1,5,70,70,70,13,269,7.40061,5.98033,771,25,102,275,116,42,2.6429
1679,boardgame,Carrier,1990,1,1,180,180,180,12,291,7.25413,5.98019,925,24,137,285,174,57,3.9825
13362,boardgame,"Warhammer 40,000 (fourth edition)",2004,2,6,60,60,60,10,988,6.4347,5.98018,1282,42,15,23,284,130,3.4846
816,boardgame,2038: Tycoons of the Asteroid Belt,1995,3,6,360,360,360,14,322,7.01382,5.98003,692,34,66,118,142,44,4
146910,boardgame,Wildcatters,2013,3,4,120,120,120,12,233,7.40751,5.97988,294,17,99,296,88,34,3.7059
18803,boardgame,Black Stories,2004,2,15,20,20,20,12,1598,6.21558,5.97987,2514,92,21,127,290,129,1.3178
3406,boardgame,Lines of Action,1969,2,2,20,20,20,10,294,7.13942,5.97986,271,1,28,101,171,36,2.7778
